"id_realty_input","realty_type","realty_condition","realty_value","realty_cond","realty_iptu","realty_area","realty_rooms","realty_baths","realty_parking","total_cost","value_area"
"57784","Apartamento Padrão","alugar",4450,1460,357,97,3,2,2,6267,64.6082474226804
"223782","Apartamento Padrão","alugar",7300,1540,633.2,168,4,3,2,9473.2,56.3880952380952
"223776","Apartamento Padrão","alugar",2499,480,NA,72,2,1,1,NA,NA
"223571","Apartamento Studio","alugar",3300,600,175.92,38,1,1,1,4075.92,107.261052631579
"223806","Apartamento Studio","alugar",3260,1200,272.89,40,1,1,1,4732.89,118.32225
"223508","Apartamento Padrão","alugar",10800,1395,845,115,2,2,2,13040,113.391304347826
"116727","Apartamento Padrão","alugar",4500,1136,324.93,85,3,2,2,5960.93,70.1285882352941
"49380","Apartamento Padrão","alugar",2900,406.65,NA,70,2,1,NA,NA,NA
"181033","Apartamento Padrão","alugar",2600,1050.01,228.48,78,2,1,1,3878.49,49.7242307692308
"197457","Apartamento Padrão","alugar",7900,2780,891,17231,3,3,3,11571,0.671522256398352
"46461","Apartamento Padrão","alugar",1900,661,99.59,566,2,1,1,2660.59,4.7006890459364
"223933","Apartamento Padrão","alugar",8000,1460,729.46,133,3,3,2,10189.46,76.6124812030075
"146533","Apartamento Padrão","alugar",2000,763,138.19,54,2,1,1,2901.19,53.7257407407407
"223673","Apartamento Padrão","alugar",3200,1800,460.68,53,2,2,1,5460.68,103.031698113208
"223944","Casa sobrado","alugar",4000,NA,NA,110,2,1,NA,NA,NA
"223872","Apartamento Studio","alugar",2900,310,102.11,24,1,1,1,3312.11,138.004583333333
"223830","Apartamento Flat","alugar",1300,1400,220,40,1,1,1,2920,73
"223934","Casa térrea","alugar",2100,NA,116.1,75,2,2,NA,NA,NA
"186817","Apartamento Padrão","alugar",7500,1950,908,132,4,3,3,10358,78.469696969697
"69105","Apartamento Padrão","alugar",4300,1325,399,157,3,2,NA,6024,38.3694267515924
"223970","Apartamento Padrão","alugar",3900,308,104.43,64,1,1,1,4312.43,67.38171875
"203537","Apartamento Kitnet","alugar",1600,NA,NA,15,1,1,NA,NA,NA
"207079","Apartamento Padrão","alugar",2500,1225.6,178.44,78,2,1,1,3904.04,50.0517948717949
"224104","Apartamento Padrão","alugar",6700,992,352,130,2,1,2,8044,61.8769230769231
"171989","Apartamento Padrão","alugar",3700,1116.5,187.45,90,3,2,1,5003.95,55.5994444444444
"224165","Apartamento Padrão","alugar",5500,1200,277.04,86,3,1,1,6977.04,81.1283720930233
"3050","Casa assobradada","alugar",3500,NA,348.2,100,1,3,NA,NA,NA
"224027","Apartamento Padrão","alugar",6000,1014,477.67,120,3,2,2,7491.67,62.4305833333333
"150092","Apartamento Padrão","alugar",3200,1450.04,378.22,80,2,2,2,5028.26,62.85325
"60937","Apartamento Padrão","alugar",5900,1800,645,158,3,2,2,8345,52.8164556962025
"187379","Apartamento Padrão","alugar",3500,1133.65,191.37,72,2,2,1,4825.02,67.0141666666667
"131984","Apartamento Padrão","alugar",2560,540,NA,48,1,1,1,NA,NA
"53863","Apartamento Padrão","alugar",2500,950,188.44,80,2,2,1,3638.44,45.4805
"224256","Apartamento Padrão","alugar",3700,1050,347.25,137,4,2,1,5097.25,37.206204379562
"224075","Apartamento Padrão","alugar",3300,800,95,150,2,2,1,4195,27.9666666666667
"224080","Apartamento Padrão","alugar",3200,1000,259.12,98,3,1,1,4459.12,45.5012244897959
